zfin_id,zfin_symbol,zfin_name
ZDB-GENE-020423-5,fshr,follicle stimulating hormone receptor
ZDB-GENE-020424-1,mtf1,metal-regulatory transcription factor 1
ZDB-GENE-020424-2,lmnb1,lamin B1
ZDB-GENE-020424-3,lmna,lamin A
ZDB-GENE-020426-1,kif11,kinesin family member 11
ZDB-GENE-020506-1,ros1,"c-ros oncogene 1 , receptor tyrosine kinase"
ZDB-GENE-020507-2,invs,inversin
ZDB-GENE-020507-3,vangl2,VANGL planar cell polarity protein 2
ZDB-GENE-020508-1,cryaa,"crystallin, alpha A"
ZDB-GENE-020509-1,nek8,NIMA-related kinase 8
ZDB-GENE-020509-2,gbx2,gastrulation brain homeobox 2
ZDB-GENE-020515-1,id3,inhibitor of DNA binding 3
ZDB-GENE-020515-2,lyz,lysozyme
ZDB-GENE-020516-1,mab21l1,mab-21-like 1
ZDB-GENE-020529-1,tbx15,T-box transcription factor 15
ZDB-GENE-020529-2,tbx18,T-box transcription factor 18
ZDB-GENE-020530-1,ptgs1,prostaglandin-endoperoxide synthase 1
ZDB-GENE-020711-1,mycn,"MYCN proto-oncogene, bHLH transcription factor"
ZDB-GENE-020731-6,fmr1,fragile X messenger ribonucleoprotein 1
ZDB-GENE-020801-1,bbs2,Bardet-Biedl syndrome 2
ZDB-GENE-020802-5,hgd,"homogentisate 1,2-dioxygenase"
ZDB-GENE-020806-1,plagl2,pleiomorphic adenoma gene-like 2
ZDB-GENE-020806-3,mst1,macrophage stimulating 1
ZDB-GENE-020806-5,esr1,estrogen receptor 1
ZDB-GENE-020809-1,robo4,"roundabout, axon guidance receptor, homolog 4 (Drosophila)"
ZDB-GENE-020809-2,abl2,"c-abl oncogene 2, non-receptor tyrosine kinase"
ZDB-GENE-020809-3,rfc3,replication factor C (activator 1) 3
ZDB-GENE-020814-2,cxadr,CXADR Ig-like cell adhesion molecule
ZDB-GENE-020822-1,reln,reelin
ZDB-GENE-020828-1,has2,hyaluronan synthase 2
ZDB-GENE-020905-1,atp2a1,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
ZDB-GENE-020905-2,copa,COPI coat complex subunit alpha
ZDB-GENE-020905-3,msh6,mutS homolog 6 (E. coli)
ZDB-GENE-020913-1,gapdhs,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
ZDB-GENE-020916-2,eef2k,eukaryotic elongation factor 2 kinase
ZDB-GENE-020919-1,apmap,adipocyte plasma membrane associated protein
ZDB-GENE-020919-2,sec31a,"SEC31 homolog A, COPII coat complex component"
ZDB-GENE-020919-3,unc45b,unc-45 myosin chaperone B
ZDB-GENE-020919-4,st8sia2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"
ZDB-GENE-020925-1,dnah9,"dynein, axonemal, heavy chain 9"
ZDB-GENE-020930-1,trh,thyrotropin-releasing hormone
ZDB-GENE-021003-1,acvrl1,activin A receptor like type 1
ZDB-GENE-021008-1,foxn1,forkhead box N1
ZDB-GENE-021010-1,adra2a,adrenoceptor alpha 2A
ZDB-GENE-021010-2,adra2b,adrenoceptor alpha 2B
ZDB-GENE-021010-3,adra2c,adrenoceptor alpha 2C
ZDB-GENE-021011-1,tram1,translocation associated membrane protein 1
ZDB-GENE-021015-1,gatm,glycine amidinotransferase (L-arginine:glycine amidinotransferase)
ZDB-GENE-021015-2,ap3m1,adaptor related protein complex 3 subunit mu 1
ZDB-GENE-021015-3,stt3a,STT3 oligosaccharyltransferase complex catalytic subunit A
ZDB-GENE-021016-1,ccng2,cyclin G2
ZDB-GENE-021021-2,tlx1,T cell leukemia homeobox 1
ZDB-GENE-021022-2,ap3m2,adaptor related protein complex 3 subunit mu 2
ZDB-GENE-021022-3,kat6a,K(lysine) acetyltransferase 6A
ZDB-GENE-021025-1,btaf1,"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated"
ZDB-GENE-021030-1,lgmn,legumain
ZDB-GENE-021030-2,ccnf,cyclin F
ZDB-GENE-021030-4,cad,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
ZDB-GENE-021030-5,ranbp9,RAN binding protein 9
ZDB-GENE-021031-3,pwp2h,PWP2 small subunit processome component
ZDB-GENE-021031-4,plod3,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3"
ZDB-GENE-021031-5,smoc2,SPARC related modular calcium binding 2
ZDB-GENE-021115-1,slc11a2,solute carrier family 11 member 2
ZDB-GENE-021115-2,trpm7,"transient receptor potential cation channel, subfamily M, member 7"
ZDB-GENE-021115-4,cdon,"cell adhesion associated, oncogene regulated"
ZDB-GENE-021115-5,ets1,"ETS proto-oncogene 1, transcription factor"
ZDB-GENE-021115-6,lmo1,LIM domain only 1
ZDB-GENE-021115-7,plk1,polo-like kinase 1 (Drosophila)
ZDB-GENE-021115-8,kars1,lysyl-tRNA synthetase 1
ZDB-GENE-021118-1,has3,hyaluronan synthase 3
ZDB-GENE-021119-1,drd3,dopamine receptor D3
ZDB-GENE-021120-3,aldh3b1,"aldehyde dehydrogenase 3 family, member B1"
ZDB-GENE-021125-1,smarca5,SNF2 related chromatin remodeling ATPase 5
ZDB-GENE-021204-1,bckdk,branched chain ketoacid dehydrogenase kinase
ZDB-GENE-021205-1,nav3,neuron navigator 3
ZDB-GENE-021206-1,hspd1,heat shock 60 protein 1
ZDB-GENE-021206-12,hnf1a,HNF1 homeobox a
ZDB-GENE-021206-14,timm9,translocase of inner mitochondrial membrane 9 homolog
ZDB-GENE-021206-3,sdc2,syndecan 2
ZDB-GENE-021206-4,sebox,SEBOX homeobox
ZDB-GENE-021206-7,ahcyl1,adenosylhomocysteinase-like 1
ZDB-GENE-021206-9,f10,coagulation factor X
ZDB-GENE-021209-1,mcm5,minichromosome maintenance complex component 5
ZDB-GENE-021210-2,mtx2,metaxin 2
ZDB-GENE-021210-3,mtx3,metaxin 3
ZDB-GENE-021210-4,b3gnt7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
ZDB-GENE-021211-1,isg15,ISG15 ubiquitin like modifier
ZDB-GENE-021212-1,ddx55,DEAD (Asp-Glu-Ala-Asp) box polypeptide 55
ZDB-GENE-021213-1,sdad1,SDA1 domain containing 1
ZDB-GENE-021217-1,med29,mediator complex subunit 29
ZDB-GENE-021217-2,utp25,UTP25 small subunit processor component
ZDB-GENE-021217-3,arl13b,ADP-ribosylation factor-like 13b
ZDB-GENE-021219-1,airim,AFG2 interacting ribosome maturation factor
ZDB-GENE-021219-2,atp6v1h,ATPase H+ transporting V1 subunit H
ZDB-GENE-021219-3,phf5a,PHD finger protein 5A
ZDB-GENE-021220-2,ddx54,DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
ZDB-GENE-021220-6,ints7,integrator complex subunit 7
ZDB-GENE-021223-1,dag1,dystroglycan 1
ZDB-GENE-021223-2,mc4r,melanocortin 4 receptor
ZDB-GENE-021226-2,lamb4,"laminin, beta 4"
ZDB-GENE-021226-3,lamc1,"laminin, gamma 1"
ZDB-GENE-021231-2,tsr2,TSR2 ribosome maturation factor
ZDB-GENE-021231-3,wdr43,WD repeat domain 43
ZDB-GENE-030103-2,phex,"phosphate regulating endopeptidase homolog, X-linked"
ZDB-GENE-030109-1,ruvbl2,RuvB-like AAA ATPase 2
ZDB-GENE-030109-2,ruvbl1,RuvB-like AAA ATPase 1
ZDB-GENE-030114-1,elovl6,ELOVL fatty acid elongase 6
ZDB-GENE-030114-3,suclg2,succinate-CoA ligase GDP-forming subunit beta
ZDB-GENE-030114-4,ppan,peter pan homolog
ZDB-GENE-030114-5,impdh2,IMP (inosine 5'-monophosphate) dehydrogenase 2
ZDB-GENE-030114-8,kbtbd8,kelch repeat and BTB (POZ) domain containing 8
ZDB-GENE-030114-9,pola1,"polymerase (DNA directed), alpha 1"
ZDB-GENE-030115-1,gapdh,glyceraldehyde-3-phosphate dehydrogenase
ZDB-GENE-030116-3,scfd1,sec1 family domain containing 1
ZDB-GENE-030123-1,ttk,ttk protein kinase
ZDB-GENE-030124-1,nfe2,"nuclear factor, erythroid 2"
ZDB-GENE-030124-2,bckdhb,branched chain keto acid dehydrogenase E1 subunit beta
ZDB-GENE-030127-1,nkx3-2,NK3 homeobox 2
ZDB-GENE-030128-3,smad7,SMAD family member 7
ZDB-GENE-030131-1001,ccdc117,coiled-coil domain containing 117
ZDB-GENE-030131-10018,rps27a,ribosomal protein S27a
ZDB-GENE-030131-10056,mettl23,"methyltransferase 23, arginine"
ZDB-GENE-030131-1016,nars1,asparaginyl-tRNA synthetase 1
ZDB-GENE-030131-1024,laptm4a,lysosomal protein transmembrane 4 alpha
ZDB-GENE-030131-1028,sirt2,"sirtuin 2 (silent mating type information regulation 2, homolog) 2 (S. cerevisiae)"
ZDB-GENE-030131-1033,agrn,agrin
ZDB-GENE-030131-105,smc2,structural maintenance of chromosomes 2
ZDB-GENE-030131-1057,exoc1,exocyst complex component 1
ZDB-GENE-030131-1058,cs,citrate synthase
ZDB-GENE-030131-1059,ube2m,ubiquitin conjugating enzyme E2 M
ZDB-GENE-030131-1066,hsdl2,hydroxysteroid dehydrogenase like 2
ZDB-GENE-030131-1067,setd6,"SET domain containing 6, protein lysine methyltransferase"
ZDB-GENE-030131-1069,bkgd,beta-keto-L-gulonate decarboxylase
ZDB-GENE-030131-1074,apoc1,apolipoprotein C-I
